CT-striped-XXL	Cotton T-shirt	XXL	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	12981	8
MS-black-4	Mini Skirt	4	black	Mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined	7	25.99	13862	10
MS-black-6	Mini Skirt	6	black	Mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined	7	25.99	11400	10
GRD-red-M	Glittery Rib-knit Dress	M	red	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	139.99	7478	1
FPP-plaid-2XL	Flannel Pajama Pants	2XL	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	8042	8
MS-black-8	Mini Skirt	8	black	Mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined	7	25.99	13441	10
MS-black-0	Mini Skirt	0	black	Mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined	7	25.99	5531	10
FPP-plaid-3XL	Flannel Pajama Pants	3XL	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	14486	8
WLJ-black-5	Wide Low Jeans	5	Black	Loose-fit, 5-pocket jeans in thick cotton denim. Low waist, button fly, and straight, wide legs	5	49.99	12480	3
FJS-black-XXS	Flared Jersey Skirt	XXS	black	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	6860	0
FJS-black-XS	Flared Jersey Skirt	XS	black	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	10048	0
KC-cream-L	Knitted cardigan	L	cream	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	4241	4
BS-red-S	Boxy Sweater	S	red	Relaxed-fit, boxy sweater in soft jersey. Wide neckline, dropped shoulders, and long, wide sleeves	1	19.99	11213	0
GRD-black-S	Glittery Rib-knit Dress	S	black	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	125.99	11426	7
DBJ-pink-free	Double-breasted Jacket	Free	pink	Straight-cut, relaxed-fit, double-breasted jacket in woven, viscose-blend fabric. Narrow, notched lapels, buttons at front, and welt front pockets. Lined	3	34.99	8886	0
GRD-black-XS	Glittery Rib-knit Dress	XS	black	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	125.99	9031	7
WLJ-blue-6	Wide Low Jeans	6	Denim blue	Loose-fit, 5-pocket jeans in thick cotton denim. Low waist, button fly, and straight, wide legs	5	49.99	13495	3
FJS-black-S	Flared Jersey Skirt	S	black	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	15.99	4300	0
MS-black-2	Mini Skirt	2	black	Mini skirt in woven fabric. Regular waist and concealed zipper at back. Lined	7	25.99	6241	10
DBJ-orange-free	Double-breasted Jacket	Free	orange	Straight-cut, relaxed-fit, double-breasted jacket in woven, viscose-blend fabric. Narrow, notched lapels, buttons at front, and welt front pockets. Lined	3	34.99	10305	0
RJB-white-L	Ribbed Jersey Bodysuit	L	white	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	17283	0
FJS-white-XS	Flared Jersey Skirt	XS	white	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	8912	0
FJS-white-L	Flared Jersey Skirt	L	white	Short, flared skirt in soft jersey made from a viscose blend. High waist, concealed, elasticized waistband, and slit at sides of hem	7	18.99	17821	0
GRD-red-S	Glittery Rib-knit Dress	S	red	Fitted, calf-length dress in a rib knit made from a cotton and cashmere blend with glittery threads. Round neckline, gently dropped shoulders, and long sleeves. Gently flared hem	7	139.99	1900	1
WLJ-black-4	Wide Low Jeans	4	Black	Loose-fit, 5-pocket jeans in thick cotton denim. Low waist, button fly, and straight, wide legs	5	49.99	14270	3
KC-cream-S	Knitted cardigan	S	cream	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	6547	4
CT-striped-XS	Cotton T-shirt	XS	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	12459	8
CBD-black-XS	Cashmere-blend Bodycon Dress	XS	black	Fitted, calf-length dress in a soft rib knit with cashmere content. V-neck front and back, long sleeves, and a straight hem	7	149.00	3492	0
FPP-plaid-XL	Flannel Pajama Pants	XL	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	15831	8
KC-white-M	Knitted cardigan	M	white	Cardigan in a soft, textured knit with a round neckline, buttons down the front and fake welt pockets. Long sleeves and ribbing at the cuffs and hem	3	64.99	12703	0
RJB-black-L	Ribbed Jersey Bodysuit	L	black	Bodysuit in soft, ribbed jersey. Sweetheart neckline, gathered detail at center of bust for a gently draped effect, and long sleeves. Concealed snap fasteners at gusset	1	14.99	11944	0
FPP-plaid-XXS	Flannel Pajama Pants	XXS	plaid	Pajama pants in soft cotton flannel. Elasticized drawstring waistband, mock fly, side pockets, and tapered legs	6	21.99	11429	8
CT-striped-M	Cotton T-shirt	M	striped	Straight-cut T-shirt in soft cotton jersey with ribbed crew neck and gently dropped shoulders	2	5.99	7517	8
